sample	contig	length
SRR9696284	k99_23259 	 16668
SRR9696284	k99_18660 	 6849
SRR9696284	k99_5694 	 3356
SRR9696284	k99_4892 	 3206
SRR9696284	k99_20430 	 3200
SRR9696284	k99_10166 	 2667
SRR9696284	k99_22679 	 2334
SRR9696284	k99_8238 	 2312
SRR9696284	k99_17664 	 2295
SRR9696284	k99_2396 	 2282
SRR9696284	k99_12505 	 1920
SRR9696284	k99_21991 	 1909
SRR9696284	k99_9394 	 1906
SRR9696284	k99_7773 	 1847
SRR9696284	k99_14561 	 1815
SRR9696284	k99_14516 	 1771
SRR9696284	k99_13517 	 1768
SRR9696284	k99_1422 	 1759
SRR9696284	k99_4899 	 1757
SRR9696284	k99_2006 	 1734
SRR9696284	k99_7482 	 1685
SRR9696284	k99_11287 	 1683
SRR9696284	k99_21052 	 1680
SRR9696284	k99_3921 	 1635
SRR9696284	k99_4672 	 1597
SRR9696284	k99_5467 	 1593
SRR9696284	k99_2233 	 1592
SRR9696284	k99_22652 	 1584
SRR9696284	k99_19600 	 1561
SRR9696284	k99_8750 	 1557
SRR9696284	k99_19171 	 1511
SRR9696284	k99_4026 	 1487
SRR9696284	k99_12817 	 1444
SRR9696284	k99_4683 	 1409
SRR9696284	k99_20966 	 1406
SRR9696284	k99_8735 	 1361
SRR9696284	k99_16658 	 1359
SRR9696284	k99_16715 	 1340
SRR9696284	k99_9650 	 1331
SRR9696284	k99_4024 	 1325
SRR9696284	k99_2524 	 1311
SRR9696284	k99_10419 	 1308
SRR9696284	k99_20491 	 1302
SRR9696284	k99_17256 	 1301
SRR9696284	k99_22360 	 1300
SRR9696284	k99_10048 	 1279
SRR9696284	k99_13928 	 1278
SRR9696284	k99_5127 	 1276
SRR9696284	k99_11963 	 1274
SRR9696284	k99_6582 	 1262
SRR9696284	k99_16242 	 1251
SRR9696284	k99_12175 	 1247
SRR9696284	k99_3010 	 1240
SRR9696284	k99_22995 	 1232
SRR9696284	k99_4018 	 1229
SRR9696284	k99_19830 	 1226
SRR9696284	k99_7150 	 1222
SRR9696284	k99_19021 	 1213
SRR9696284	k99_3607 	 1208
SRR9696284	k99_20893 	 1208
