sample	contig	length
SRR6145060	k99_11421 	 18548
SRR6145060	k99_15756 	 15674
SRR6145060	k99_7506 	 14267
SRR6145060	k99_14007 	 13345
SRR6145060	k99_7760 	 12769
SRR6145060	k99_8058 	 12387
SRR6145060	k99_12921 	 11875
SRR6145060	k99_15390 	 11357
SRR6145060	k99_6774 	 11219
SRR6145060	k99_6679 	 10400
SRR6145060	k99_3589 	 9780
SRR6145060	k99_13755 	 9545
SRR6145060	k99_15622 	 9377
SRR6145060	k99_8555 	 9259
SRR6145060	k99_4715 	 9220
SRR6145060	k99_9072 	 9125
SRR6145060	k99_11372 	 9012
SRR6145060	k99_7694 	 8915
SRR6145060	k99_5426 	 8817
SRR6145060	k99_15760 	 8790
SRR6145060	k99_13731 	 8760
SRR6145060	k99_15645 	 8551
SRR6145060	k99_11830 	 8419
SRR6145060	k99_15754 	 8338
SRR6145060	k99_15708 	 8275
SRR6145060	k99_3495 	 8170
SRR6145060	k99_3643 	 8147
SRR6145060	k99_10439 	 7985
SRR6145060	k99_8750 	 7887
SRR6145060	k99_7471 	 7852
SRR6145060	k99_15423 	 7741
SRR6145060	k99_14951 	 7593
SRR6145060	k99_2793 	 7453
SRR6145060	k99_3352 	 7448
SRR6145060	k99_2805 	 7438
SRR6145060	k99_9135 	 7194
SRR6145060	k99_15661 	 7159
SRR6145060	k99_4903 	 7138
SRR6145060	k99_6950 	 7103
SRR6145060	k99_15664 	 7076
SRR6145060	k99_4943 	 6966
SRR6145060	k99_15051 	 6954
SRR6145060	k99_9834 	 6921
SRR6145060	k99_3632 	 6834
SRR6145060	k99_4302 	 6805
SRR6145060	k99_10621 	 6782
SRR6145060	k99_14231 	 6761
SRR6145060	k99_11101 	 6724
SRR6145060	k99_10102 	 6689
SRR6145060	k99_12964 	 6671
SRR6145060	k99_15357 	 6632
SRR6145060	k99_10879 	 6617
SRR6145060	k99_15666 	 6518
SRR6145060	k99_2539 	 6482
SRR6145060	k99_10992 	 6472
SRR6145060	k99_4650 	 6430
SRR6145060	k99_2242 	 6414
SRR6145060	k99_8379 	 6378
SRR6145060	k99_13634 	 6374
SRR6145060	k99_8715 	 6373
SRR6145060	k99_12829 	 6307
SRR6145060	k99_4203 	 6266
SRR6145060	k99_2224 	 6199
SRR6145060	k99_13692 	 6185
SRR6145060	k99_12935 	 6109
SRR6145060	k99_3523 	 5975
SRR6145060	k99_5849 	 5947
SRR6145060	k99_7438 	 5928
SRR6145060	k99_7349 	 5920
SRR6145060	k99_7132 	 5918
SRR6145060	k99_14429 	 5917
SRR6145060	k99_15718 	 5917
SRR6145060	k99_11176 	 5883
SRR6145060	k99_13703 	 5737
SRR6145060	k99_15443 	 5702
SRR6145060	k99_10658 	 5686
SRR6145060	k99_15800 	 5633
SRR6145060	k99_7388 	 5609
SRR6145060	k99_9096 	 5601
SRR6145060	k99_4232 	 5598
SRR6145060	k99_15385 	 5580
SRR6145060	k99_12466 	 5578
SRR6145060	k99_13255 	 5575
SRR6145060	k99_2404 	 5539
SRR6145060	k99_11342 	 5532
SRR6145060	k99_4916 	 5530
SRR6145060	k99_6323 	 5513
SRR6145060	k99_3841 	 5511
SRR6145060	k99_6431 	 5510
SRR6145060	k99_14999 	 5509
SRR6145060	k99_15827 	 5485
SRR6145060	k99_5591 	 5474
SRR6145060	k99_12400 	 5452
SRR6145060	k99_5882 	 5450
SRR6145060	k99_3509 	 5430
SRR6145060	k99_3855 	 5385
SRR6145060	k99_14329 	 5338
SRR6145060	k99_4805 	 5308
SRR6145060	k99_8869 	 5294
SRR6145060	k99_15593 	 5223
SRR6145060	k99_7931 	 5201
SRR6145060	k99_10278 	 5096
SRR6145060	k99_14189 	 5094
SRR6145060	k99_10535 	 5077
SRR6145060	k99_15815 	 5068
SRR6145060	k99_11051 	 5067
SRR6145060	k99_15521 	 5011
SRR6145060	k99_15582 	 4954
SRR6145060	k99_6316 	 4946
SRR6145060	k99_15138 	 4946
SRR6145060	k99_5843 	 4944
SRR6145060	k99_10855 	 4903
SRR6145060	k99_11783 	 4885
SRR6145060	k99_1688 	 4878
SRR6145060	k99_15742 	 4865
SRR6145060	k99_2569 	 4861
SRR6145060	k99_2914 	 4824
SRR6145060	k99_8933 	 4823
SRR6145060	k99_8809 	 4778
SRR6145060	k99_15336 	 4775
SRR6145060	k99_13243 	 4768
SRR6145060	k99_15327 	 4756
SRR6145060	k99_11793 	 4755
SRR6145060	k99_12054 	 4748
SRR6145060	k99_10464 	 4739
SRR6145060	k99_4753 	 4666
SRR6145060	k99_7512 	 4633
SRR6145060	k99_9475 	 4633
SRR6145060	k99_12557 	 4631
SRR6145060	k99_8781 	 4626
SRR6145060	k99_14845 	 4611
SRR6145060	k99_2009 	 4552
SRR6145060	k99_1618 	 4546
SRR6145060	k99_9404 	 4540
SRR6145060	k99_1680 	 4523
SRR6145060	k99_6889 	 4503
